index,size,model_response,correct_answer,is_correct,processing_time,model,symbol_set
0,3,full,left,False,8.378804445266724,phi3:mini,digits
1,3,none,right,False,8.642677783966064,phi3:mini,digits
2,3,none,none,True,8.700008153915405,phi3:mini,digits
3,3,right,right,True,8.556037664413452,phi3:mini,digits
4,3,none,none,True,9.204994440078735,phi3:mini,digits
5,3,right,left,False,8.63249683380127,phi3:mini,digits
6,3,left,full,False,8.799238681793213,phi3:mini,digits
7,3,right,left,False,8.497060775756836,phi3:mini,digits
8,3,right,left,False,8.835894107818604,phi3:mini,digits
9,3,right,full,False,8.792303085327148,phi3:mini,digits
10,3,full,left,False,8.888216733932495,phi3:mini,digits
11,3,right,right,True,9.800376653671265,phi3:mini,digits
12,3,none,none,True,8.716155052185059,phi3:mini,digits
13,3,full,right,False,9.055318355560303,phi3:mini,digits
14,3,right,right,True,9.174531936645508,phi3:mini,digits
15,3,none,none,True,10.322497844696045,phi3:mini,digits
16,3,none,full,False,9.412569046020508,phi3:mini,digits
17,3,right,left,False,10.004448175430298,phi3:mini,digits
18,3,none,full,False,9.18613076210022,phi3:mini,digits
19,3,left,left,True,9.3617103099823,phi3:mini,digits
20,3,none,full,False,8.727165460586548,phi3:mini,digits
21,3,full,left,False,8.558722019195557,phi3:mini,digits
22,3,none,none,True,8.57079029083252,phi3:mini,digits
23,3,right,left,False,8.480654954910278,phi3:mini,digits
24,3,full,right,False,8.712562561035156,phi3:mini,digits
25,3,right,right,True,8.592907905578613,phi3:mini,digits
26,3,none,left,False,8.536879062652588,phi3:mini,digits
27,3,none,none,True,8.56043553352356,phi3:mini,digits
28,3,left,right,False,8.484496355056763,phi3:mini,digits
29,3,right,right,True,8.495862483978271,phi3:mini,digits
30,3,none,left,False,8.68716287612915,phi3:mini,digits
31,3,full,left,False,8.638915777206421,phi3:mini,digits
32,3,right,right,True,8.667182445526123,phi3:mini,digits
33,3,none,none,True,8.784595727920532,phi3:mini,digits
34,3,left,left,True,8.596618175506592,phi3:mini,digits
35,3,full,right,False,8.579784870147705,phi3:mini,digits
36,3,left,full,False,7.954776048660278,phi3:mini,digits
37,3,left,right,False,8.592086553573608,phi3:mini,digits
38,3,none,none,True,8.608630180358887,phi3:mini,digits
39,3,none,none,True,8.27492380142212,phi3:mini,digits
40,3,right,left,False,8.56028962135315,phi3:mini,digits
41,3,right,full,False,8.656590223312378,phi3:mini,digits
42,3,full,left,False,8.57510757446289,phi3:mini,digits
43,3,none,left,False,8.556317567825317,phi3:mini,digits
44,3,right,left,False,8.27863359451294,phi3:mini,digits
45,3,left,left,True,8.672812938690186,phi3:mini,digits
46,3,right,left,False,8.530399322509766,phi3:mini,digits
47,3,none,right,False,8.584442377090454,phi3:mini,digits
48,3,right,right,True,8.555707216262817,phi3:mini,digits
49,3,none,full,False,8.587286472320557,phi3:mini,digits
50,3,none,none,True,8.934345006942749,phi3:mini,digits
51,3,none,none,True,8.631940364837646,phi3:mini,digits
52,3,full,right,False,8.529904842376709,phi3:mini,digits
53,3,full,full,True,8.709388732910156,phi3:mini,digits
54,3,none,left,False,8.546287536621094,phi3:mini,digits
55,3,right,right,True,8.632529020309448,phi3:mini,digits
56,3,right,right,True,8.615939140319824,phi3:mini,digits
57,3,none,none,True,8.431723833084106,phi3:mini,digits
58,3,right,left,False,8.568414211273193,phi3:mini,digits
59,3,error,full,False,8.399081230163574,phi3:mini,digits
60,3,right,right,True,8.536919116973877,phi3:mini,digits
61,3,right,right,True,8.607748746871948,phi3:mini,digits
62,3,none,none,True,8.503769636154175,phi3:mini,digits
63,3,right,left,False,8.599019050598145,phi3:mini,digits
64,3,none,none,True,8.644114255905151,phi3:mini,digits
65,3,full,left,False,8.696070432662964,phi3:mini,digits
66,3,full,full,True,8.524057626724243,phi3:mini,digits
67,3,right,right,True,8.663554906845093,phi3:mini,digits
68,3,none,none,True,8.53901982307434,phi3:mini,digits
69,3,none,right,False,8.50744104385376,phi3:mini,digits
70,3,right,right,True,8.704527378082275,phi3:mini,digits
71,3,right,full,False,8.551809787750244,phi3:mini,digits
72,3,right,left,False,8.631541013717651,phi3:mini,digits
73,3,none,full,False,8.560116291046143,phi3:mini,digits
74,3,none,left,False,8.57117748260498,phi3:mini,digits
75,3,none,none,True,8.676516056060791,phi3:mini,digits
76,3,right,full,False,8.640199899673462,phi3:mini,digits
77,3,full,full,True,8.617600917816162,phi3:mini,digits
78,3,none,left,False,8.62332820892334,phi3:mini,digits
79,3,none,none,True,8.810615301132202,phi3:mini,digits
80,3,none,right,False,8.59505820274353,phi3:mini,digits
81,3,none,none,True,8.623788118362427,phi3:mini,digits
82,3,left,left,True,8.69948434829712,phi3:mini,digits
83,3,none,none,True,8.594416856765747,phi3:mini,digits
84,3,none,right,False,8.574943780899048,phi3:mini,digits
85,3,none,none,True,8.595334768295288,phi3:mini,digits
86,3,right,left,False,8.392589569091797,phi3:mini,digits
87,3,right,left,False,8.689696073532104,phi3:mini,digits
88,3,right,left,False,8.670421361923218,phi3:mini,digits
89,3,left,right,False,8.656519889831543,phi3:mini,digits
90,3,none,none,True,8.62388801574707,phi3:mini,digits
91,3,none,full,False,8.710875272750854,phi3:mini,digits
92,3,left,full,False,8.599463701248169,phi3:mini,digits
93,3,full,full,True,8.656498908996582,phi3:mini,digits
94,3,right,left,False,8.51965594291687,phi3:mini,digits
95,3,right,right,True,8.659562110900879,phi3:mini,digits
96,3,none,none,True,8.61174464225769,phi3:mini,digits
97,3,none,none,True,8.536797285079956,phi3:mini,digits
98,3,right,left,False,8.539166927337646,phi3:mini,digits
99,3,none,none,True,8.652717590332031,phi3:mini,digits
0,3,left,left,True,8.206597089767456,phi3:mini,letters
1,3,right,full,False,8.169169664382935,phi3:mini,letters
2,3,right,right,True,8.64580750465393,phi3:mini,letters
3,3,left,right,False,8.190541744232178,phi3:mini,letters
4,3,none,left,False,8.281157493591309,phi3:mini,letters
5,3,none,none,True,8.079547882080078,phi3:mini,letters
6,3,right,right,True,8.204330205917358,phi3:mini,letters
7,3,none,none,True,8.403837442398071,phi3:mini,letters
8,3,right,right,True,8.472647666931152,phi3:mini,letters
9,3,none,none,True,8.220650672912598,phi3:mini,letters
10,3,none,none,True,8.266287088394165,phi3:mini,letters
11,3,right,full,False,8.60849928855896,phi3:mini,letters
12,3,none,none,True,8.440141201019287,phi3:mini,letters
13,3,right,right,True,8.708695411682129,phi3:mini,letters
14,3,right,left,False,8.136551856994629,phi3:mini,letters
15,3,right,full,False,8.436985731124878,phi3:mini,letters
16,3,full,none,False,8.667912483215332,phi3:mini,letters
17,3,right,full,False,8.207170963287354,phi3:mini,letters
18,3,full,left,False,8.149122953414917,phi3:mini,letters
19,3,left,full,False,8.127764225006104,phi3:mini,letters
20,3,full,full,True,8.344464778900146,phi3:mini,letters
21,3,full,full,True,8.65421462059021,phi3:mini,letters
22,3,right,right,True,8.059773206710815,phi3:mini,letters
23,3,none,none,True,8.228648662567139,phi3:mini,letters
24,3,none,none,True,8.195386171340942,phi3:mini,letters
25,3,none,none,True,8.623384952545166,phi3:mini,letters
26,3,right,full,False,8.38644814491272,phi3:mini,letters
27,3,right,left,False,8.19986081123352,phi3:mini,letters
28,3,full,full,True,8.103280782699585,phi3:mini,letters
29,3,left,right,False,8.083485126495361,phi3:mini,letters
30,3,right,full,False,8.11710500717163,phi3:mini,letters
31,3,left,right,False,8.1717209815979,phi3:mini,letters
32,3,right,right,True,8.19534945487976,phi3:mini,letters
33,3,none,right,False,8.137017488479614,phi3:mini,letters
34,3,none,none,True,8.10336971282959,phi3:mini,letters
35,3,none,none,True,8.215600490570068,phi3:mini,letters
36,3,full,right,False,8.176424026489258,phi3:mini,letters
37,3,none,none,True,8.052603721618652,phi3:mini,letters
38,3,right,full,False,8.172030210494995,phi3:mini,letters
39,3,right,full,False,8.272899866104126,phi3:mini,letters
40,3,right,full,False,8.090591430664062,phi3:mini,letters
41,3,left,full,False,8.384361743927002,phi3:mini,letters
42,3,right,right,True,8.120407104492188,phi3:mini,letters
43,3,full,full,True,8.18502402305603,phi3:mini,letters
44,3,right,left,False,8.37922716140747,phi3:mini,letters
45,3,left,right,False,8.44094705581665,phi3:mini,letters
46,3,full,left,False,8.069929599761963,phi3:mini,letters
47,3,none,none,True,8.081671953201294,phi3:mini,letters
48,3,left,right,False,7.931268215179443,phi3:mini,letters
49,3,none,none,True,8.283879041671753,phi3:mini,letters
50,3,none,none,True,8.147814989089966,phi3:mini,letters
51,3,left,right,False,8.09367823600769,phi3:mini,letters
52,3,right,left,False,8.432573318481445,phi3:mini,letters
53,3,right,right,True,8.1637282371521,phi3:mini,letters
54,3,right,left,False,8.137022972106934,phi3:mini,letters
55,3,right,left,False,8.523110151290894,phi3:mini,letters
56,3,full,right,False,8.375614881515503,phi3:mini,letters
57,3,right,right,True,8.571124792098999,phi3:mini,letters
58,3,right,full,False,8.540443181991577,phi3:mini,letters
59,3,right,left,False,8.564426183700562,phi3:mini,letters
60,3,left,full,False,8.184741497039795,phi3:mini,letters
61,3,right,left,False,8.165210723876953,phi3:mini,letters
62,3,full,full,True,7.883042097091675,phi3:mini,letters
63,3,none,none,True,8.244207620620728,phi3:mini,letters
64,3,full,full,True,8.593570947647095,phi3:mini,letters
65,3,left,right,False,8.232531070709229,phi3:mini,letters
66,3,left,full,False,8.18263554573059,phi3:mini,letters
67,3,full,full,True,8.136421203613281,phi3:mini,letters
68,3,left,full,False,8.409750699996948,phi3:mini,letters
69,3,none,none,True,8.584487199783325,phi3:mini,letters
70,3,full,right,False,8.568576335906982,phi3:mini,letters
71,3,right,full,False,8.164648532867432,phi3:mini,letters
72,3,none,none,True,8.113160610198975,phi3:mini,letters
73,3,right,full,False,8.166931867599487,phi3:mini,letters
74,3,none,none,True,8.148814916610718,phi3:mini,letters
75,3,none,none,True,7.996779441833496,phi3:mini,letters
76,3,full,left,False,8.171846389770508,phi3:mini,letters
77,3,right,full,False,8.003528356552124,phi3:mini,letters
78,3,right,full,False,8.471845149993896,phi3:mini,letters
79,3,right,left,False,8.467715740203857,phi3:mini,letters
80,3,none,none,True,8.07926869392395,phi3:mini,letters
81,3,full,full,True,8.224633693695068,phi3:mini,letters
82,3,left,right,False,8.21699571609497,phi3:mini,letters
83,3,full,full,True,8.307283401489258,phi3:mini,letters
84,3,right,full,False,8.415441036224365,phi3:mini,letters
85,3,left,right,False,8.160624027252197,phi3:mini,letters
86,3,none,none,True,8.542808294296265,phi3:mini,letters
87,3,none,full,False,8.247774839401245,phi3:mini,letters
88,3,none,none,True,8.380361080169678,phi3:mini,letters
89,3,right,right,True,8.443480014801025,phi3:mini,letters
90,3,none,none,True,8.41515326499939,phi3:mini,letters
91,3,left,full,False,8.135362148284912,phi3:mini,letters
92,3,right,full,False,7.812330007553101,phi3:mini,letters
93,3,right,right,True,8.694299936294556,phi3:mini,letters
94,3,left,full,False,8.143944025039673,phi3:mini,letters
95,3,full,full,True,8.643832445144653,phi3:mini,letters
96,3,right,right,True,8.705892562866211,phi3:mini,letters
97,3,right,full,False,8.100113153457642,phi3:mini,letters
98,3,left,full,False,8.381024360656738,phi3:mini,letters
99,3,right,full,False,8.439441204071045,phi3:mini,letters
0,3,right,right,True,8.29089879989624,phi3:mini,symbols
1,3,none,none,True,8.247424602508545,phi3:mini,symbols
2,3,none,none,True,8.081726312637329,phi3:mini,symbols
3,3,none,none,True,8.54810118675232,phi3:mini,symbols
4,3,left,right,False,8.33138132095337,phi3:mini,symbols
5,3,left,right,False,8.280529737472534,phi3:mini,symbols
6,3,right,full,False,7.868385553359985,phi3:mini,symbols
7,3,right,right,True,8.235921859741211,phi3:mini,symbols
8,3,none,none,True,8.28376841545105,phi3:mini,symbols
9,3,none,full,False,8.407524585723877,phi3:mini,symbols
10,3,right,left,False,7.88117527961731,phi3:mini,symbols
11,3,full,full,True,8.343756437301636,phi3:mini,symbols
12,3,full,left,False,7.9713218212127686,phi3:mini,symbols
13,3,right,left,False,7.916524410247803,phi3:mini,symbols
14,3,none,none,True,8.27252745628357,phi3:mini,symbols
15,3,right,right,True,7.944586992263794,phi3:mini,symbols
16,3,none,none,True,8.045062780380249,phi3:mini,symbols
17,3,none,none,True,7.938018083572388,phi3:mini,symbols
18,3,right,full,False,7.755107164382935,phi3:mini,symbols
19,3,right,right,True,8.207196474075317,phi3:mini,symbols
20,3,right,right,True,7.868065357208252,phi3:mini,symbols
21,3,none,none,True,8.228999376296997,phi3:mini,symbols
22,3,none,none,True,8.267422914505005,phi3:mini,symbols
23,3,right,left,False,8.400158882141113,phi3:mini,symbols
24,3,full,full,True,8.50829291343689,phi3:mini,symbols
25,3,right,right,True,8.184110164642334,phi3:mini,symbols
26,3,none,none,True,8.044294834136963,phi3:mini,symbols
27,3,none,none,True,8.045363664627075,phi3:mini,symbols
28,3,right,full,False,8.547299861907959,phi3:mini,symbols
29,3,none,none,True,8.152325630187988,phi3:mini,symbols
30,3,left,left,True,7.919517993927002,phi3:mini,symbols
31,3,none,none,True,8.09114694595337,phi3:mini,symbols
32,3,full,none,False,8.314396619796753,phi3:mini,symbols
33,3,none,none,True,8.570141077041626,phi3:mini,symbols
34,3,left,full,False,8.262715578079224,phi3:mini,symbols
35,3,none,none,True,7.9260947704315186,phi3:mini,symbols
36,3,none,none,True,8.17307186126709,phi3:mini,symbols
37,3,full,full,True,8.302884817123413,phi3:mini,symbols
38,3,left,left,True,8.359544277191162,phi3:mini,symbols
39,3,right,full,False,8.2045316696167,phi3:mini,symbols
40,3,left,full,False,8.304577827453613,phi3:mini,symbols
41,3,right,left,False,8.175238847732544,phi3:mini,symbols
42,3,none,full,False,7.8077332973480225,phi3:mini,symbols
43,3,right,left,False,8.30660343170166,phi3:mini,symbols
44,3,left,full,False,8.136233568191528,phi3:mini,symbols
45,3,right,left,False,8.350751876831055,phi3:mini,symbols
46,3,right,right,True,8.30706000328064,phi3:mini,symbols
47,3,right,none,False,8.175724506378174,phi3:mini,symbols
48,3,none,none,True,8.226855516433716,phi3:mini,symbols
49,3,none,right,False,8.348546743392944,phi3:mini,symbols
50,3,full,full,True,7.912108421325684,phi3:mini,symbols
51,3,right,right,True,8.264864921569824,phi3:mini,symbols
52,3,right,left,False,8.263455867767334,phi3:mini,symbols
53,3,right,left,False,8.26017451286316,phi3:mini,symbols
54,3,none,left,False,7.947430610656738,phi3:mini,symbols
55,3,right,right,True,8.242305040359497,phi3:mini,symbols
56,3,none,none,True,8.226561784744263,phi3:mini,symbols
57,3,right,left,False,8.020353555679321,phi3:mini,symbols
58,3,full,right,False,8.382920503616333,phi3:mini,symbols
59,3,left,full,False,8.363579511642456,phi3:mini,symbols
60,3,right,left,False,7.9916181564331055,phi3:mini,symbols
61,3,right,left,False,8.290203332901001,phi3:mini,symbols
62,3,none,none,True,7.827446699142456,phi3:mini,symbols
63,3,left,right,False,8.045252561569214,phi3:mini,symbols
64,3,full,full,True,8.42336630821228,phi3:mini,symbols
65,3,none,none,True,8.036312341690063,phi3:mini,symbols
66,3,full,right,False,8.168201208114624,phi3:mini,symbols
67,3,none,none,True,8.484140396118164,phi3:mini,symbols
68,3,right,right,True,8.155657291412354,phi3:mini,symbols
69,3,full,left,False,8.124125242233276,phi3:mini,symbols
70,3,none,none,True,7.8514673709869385,phi3:mini,symbols
71,3,left,right,False,8.240312099456787,phi3:mini,symbols
72,3,none,none,True,8.099682331085205,phi3:mini,symbols
73,3,full,left,False,8.469026327133179,phi3:mini,symbols
74,3,left,full,False,8.043519973754883,phi3:mini,symbols
75,3,none,full,False,7.987681150436401,phi3:mini,symbols
76,3,right,left,False,8.064519882202148,phi3:mini,symbols
77,3,right,right,True,8.15671420097351,phi3:mini,symbols
78,3,right,right,True,8.05898928642273,phi3:mini,symbols
79,3,none,none,True,8.376709461212158,phi3:mini,symbols
80,3,right,none,False,8.06800103187561,phi3:mini,symbols
