index,size,model_response,correct_answer,is_correct,processing_time,model,symbol_set,input_grid,output_grid
0,9,none,none,True,20.525460243225098,phi3:mini,digits,"2 3 3 3 3 3 3 3 3
3 1 1 1 3 3 3 3 3
3 1 1 1 3 3 3 3 3
3 3 3 3 3 3 3 3 3
4 3 3 3 5 5 5 3 3
4 3 3 3 5 5 5 3 3
4 3 3 3 5 0 0 0 3
4 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3","2 3 3 3 3 3 3 3 3
3 1 1 1 3 3 3 3 3
3 1 1 1 3 3 3 3 3
3 3 3 3 3 3 3 3 3
4 3 3 3 5 5 5 3 3
4 3 3 3 5 5 5 3 3
4 3 3 3 5 0 0 0 3
4 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3"
1,7,none,right,False,15.37977409362793,phi3:mini,digits,"4 4 4 4 4 4 4
4 4 4 4 4 4 4
4 4 4 4 4 4 4
4 4 9 4 4 4 4
4 4 9 4 0 4 4
4 7 9 4 0 4 4
4 7 4 4 4 4 4","4 4 4 4 4 4 4
7 7 4 4 4 4 4
4 9 9 9 4 4 4
4 4 4 4 4 4 4
4 0 0 4 4 4 4
4 4 4 4 4 4 4
4 4 4 4 4 4 4"
2,3,none,none,True,8.49066686630249,phi3:mini,digits,"6 6 6
6 6 6
6 1 6","6 6 6
6 6 6
6 1 6"
3,7,none,none,True,15.248750448226929,phi3:mini,digits,"7 7 6 7 7 7 7
7 7 7 7 7 7 7
7 7 7 7 7 7 7
7 7 7 7 7 5 5
7 7 7 7 7 5 5
7 7 7 4 4 7 7
7 7 7 4 4 7 7","7 7 6 7 7 7 7
7 7 7 7 7 7 7
7 7 7 7 7 7 7
7 7 7 7 7 5 5
7 7 7 7 7 5 5
7 7 7 4 4 7 7
7 7 7 4 4 7 7"
4,7,right,right,True,15.231600761413574,phi3:mini,digits,"2 1 2 2 2 9 9
2 2 2 2 2 9 9
2 2 2 2 2 2 2
7 2 2 2 3 2 2
7 2 2 2 2 2 2
7 2 2 2 2 2 2
2 2 2 2 2 2 2","2 7 7 7 2 2 2
2 2 2 2 2 2 1
2 2 2 2 2 2 2
2 2 2 2 2 2 2
2 2 2 3 2 2 2
2 2 2 2 2 9 9
2 2 2 2 2 9 9"
5,5,right,left,False,11.340878248214722,phi3:mini,digits,"5 1 1 5 5
5 1 1 5 5
7 7 5 5 5
5 5 5 5 5
5 5 5 5 6","5 5 5 5 6
5 5 5 5 5
1 1 5 5 5
1 1 7 5 5
5 5 7 5 5"
6,9,right,full,False,20.536656379699707,phi3:mini,digits,"0 0 4 4 4 0 5 5 0
0 0 4 4 4 0 5 5 0
0 0 9 4 4 0 5 5 0
0 0 9 0 0 0 5 5 0
0 0 9 0 0 0 0 0 0
0 0 0 0 3 3 3 3 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 5 0 0","0 0 5 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0
0 3 3 3 3 0 0 0 0
0 0 0 0 0 0 9 0 0
0 5 5 0 0 0 9 0 0
0 5 5 0 4 4 9 0 0
0 5 5 0 4 4 4 0 0
0 5 5 0 4 4 4 0 0"
7,8,right,left,False,17.762585878372192,phi3:mini,digits,"7 7 7 7 7 7 4 7
7 7 7 7 7 7 7 7
7 7 7 7 7 7 7 7
7 8 8 2 2 2 2 7
7 8 1 1 1 1 2 7
7 8 1 1 1 1 6 7
7 7 1 1 1 1 6 7
7 7 7 7 7 7 7 7","7 7 7 7 7 7 7 7
4 7 7 2 2 6 6 7
7 7 7 2 1 1 1 7
7 7 7 2 1 1 1 7
7 7 7 2 1 1 1 7
7 7 7 8 1 1 1 7
7 7 7 8 8 8 7 7
7 7 7 7 7 7 7 7"
8,7,right,right,True,15.305734872817993,phi3:mini,digits,"3 3 3 4 4 4 3
3 3 3 4 4 4 3
3 3 3 3 3 3 3
0 0 3 3 3 3 3
0 0 3 2 3 3 3
7 0 3 3 3 3 3
3 3 3 3 3 3 3","3 7 0 0 3 3 3
3 0 0 0 3 3 3
3 3 3 3 3 3 3
3 3 2 3 3 4 4
3 3 3 3 3 4 4
3 3 3 3 3 4 4
3 3 3 3 3 3 3"
9,5,right,full,False,11.328545808792114,phi3:mini,digits,"1 1 0 0 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 4 9 1 1","1 1 9 4 1
1 1 1 1 1
1 1 1 1 1
1 1 1 1 1
1 0 0 1 1"
0,7,full,left,False,12.009093999862671,phi3:mini,letters,"Y Y Y Y Y D Y
Y Y Y Y Y D Y
E Y Y Y Y Y Y
E Y Y Y Y Y B
E Y Y Y Y N B
Y Y Y Y Y Y Y
Y Y Y Y Y Y Y","Y Y Y B B Y Y
D D Y Y N Y Y
Y Y Y Y Y Y Y
Y Y Y Y Y Y Y
Y Y Y Y Y Y Y
Y Y Y Y Y Y Y
Y Y E E E Y Y"
