index,size,model_response,correct_answer,is_correct,processing_time,model,symbol_set
0,4,none,none,True,14.136000633239746,phi3:mini,XO
1,5,right,full,False,18.78752565383911,phi3:mini,XO
2,4,right,left,False,14.759405374526978,phi3:mini,XO
3,4,full,none,False,16.127620220184326,phi3:mini,XO
4,5,left,left,True,17.55354928970337,phi3:mini,XO
5,3,none,none,True,13.203246116638184,phi3:mini,XO
6,4,right,left,False,14.369948387145996,phi3:mini,XO
7,4,right,right,True,16.013763427734375,phi3:mini,XO
8,4,none.,none,False,17.26361060142517,phi3:mini,XO
9,5,full,left,False,18.79558253288269,phi3:mini,XO
0,5,none,none,True,22.433366775512695,phi3:mini,digits
1,4,right,full,False,18.108216285705566,phi3:mini,digits
2,5,left,right,False,19.718894958496094,phi3:mini,digits
3,5,full,full,True,20.719280242919922,phi3:mini,digits
4,5,full,right,False,20.12326192855835,phi3:mini,digits
5,5,none,none,True,20.962409257888794,phi3:mini,digits
6,3,left,right,False,14.279374599456787,phi3:mini,digits
7,4,none,none,True,16.319277048110962,phi3:mini,digits
8,4,right,left,False,17.854973077774048,phi3:mini,digits
9,5,none.,none,False,20.30679225921631,phi3:mini,digits
0,3,full,full,True,13.613327980041504,phi3:mini,letters
1,3,right,full,False,13.156481266021729,phi3:mini,letters
2,5,right,left,False,17.535606384277344,phi3:mini,letters
3,3,none,none,True,13.91191291809082,phi3:mini,letters
4,5,none,none,True,17.56320285797119,phi3:mini,letters
5,3,right,left,False,14.20753288269043,phi3:mini,letters
6,5,none,none,True,18.239848613739014,phi3:mini,letters
7,3,full,right,False,14.035987377166748,phi3:mini,letters
8,4,right,left,False,14.847981214523315,phi3:mini,letters
9,3,right,left,False,13.29557728767395,phi3:mini,letters
0,5,right,full,False,18.83025813102722,phi3:mini,symbols
1,3,right,right,True,13.587137460708618,phi3:mini,symbols
2,4,full,full,True,16.552191734313965,phi3:mini,symbols
3,5,right,right,True,19.691370248794556,phi3:mini,symbols
4,3,right,none,False,13.716207504272461,phi3:mini,symbols
5,4,none,none,True,15.907358884811401,phi3:mini,symbols
6,3,right,right,True,13.252613306045532,phi3:mini,symbols
7,3,right,right,True,14.095751762390137,phi3:mini,symbols
8,4,full,full,True,16.019653797149658,phi3:mini,symbols
9,3,right,right,True,13.81567096710205,phi3:mini,symbols
